AccessTime24: 0xf101
Accessibility24: 0xf104
Accessibility20: 0xf103
Accessibility28: 0xf105
Add16: 0xf108
Add24: 0xf10a
Add28: 0xf10b
AddCircle20: 0xf10c
AddCircle24: 0xf10d
AddCircle28: 0xf10e
Airplane20: 0xf10f
Airplane24: 0xf110
AirplaneTakeOff16: 0xf111
AirplaneTakeOff20: 0xf112
AirplaneTakeOff24: 0xf113
Add12: 0xf107
Alert20: 0xf114
Alert28: 0xf116
AlertOff16: 0xf117
AlertOff20: 0xf118
AlertOff28: 0xf11a
AlertOff24: 0xf119
AlertSnooze20: 0xf11c
AlertOn24: 0xf11b
AlertSnooze24: 0xf11d
AlertUrgent20: 0xf11e
AlertUrgent24: 0xf11f
AnimalDog20: 0xf120
AnimalDog24: 0xf121
AppFolder20: 0xf122
AppFolder24: 0xf123
AppGeneric24: 0xf124
AppRecent24: 0xf125
Alert24: 0xf115
AppTitle24: 0xf12b
ApprovalsApp24: 0xf130
ApprovalsApp28: 0xf131
Apps16: 0xf132
Apps20: 0xf133
Apps24: 0xf134
Apps28: 0xf135
Add20: 0xf109
AppsAddIn24: 0xf137
AppsList24: 0xf138
Archive20: 0xf139
Archive24: 0xf13a
Archive28: 0xf13b
Archive48: 0xf13c
ArrowClockwise20: 0xf13d
ArrowCounterclockwise20: 0xf13f
ArrowClockwise24: 0xf13e
ArrowCounterclockwise24: 0xf140
ArrowCurveDownLeft20: 0xf141
ArrowCurveDownRight20: 0xf142
ArrowCurveUpLeft20: 0xf145
ArrowDown20: 0xf148
ArrowDown16: 0xf147
ArrowCurveUpRight20: 0xf146
ArrowDown24: 0xf149
ArrowDown28: 0xf14a
ArrowDownLeft24: 0xf14b
ArrowDownload16: 0xf14f
ArrowDownload20: 0xf150
ArrowDownload24: 0xf151
ArrowDownload48: 0xf152
ArrowForward20: 0xf157
ArrowForward16: 0xf156
ArrowExpand24: 0xf154
ArrowForward24: 0xf158
ArrowImport20: 0xf159
Accessibility16: 0xf102
ArrowLeft24: 0xf15c
ArrowMaximize16: 0xf15e
ArrowLeft28: 0xf15d
ArrowMaximize20: 0xf15f
ArrowImport24: 0xf15a
ArrowMaximize24: 0xf160
ArrowMaximizeVertical20: 0xf162
